"551","Абакан Эир","Общество с ограниченной ответственностью «АБАКАН ЭИР»","Абакан","Ил-76  (7), Ми-26  (3), Ми-8  (3), Ми-8МТВ  (5)"
481,"Авиа Менеджмент Груп","Акционерное общество «Авиа Менеджмент Груп»","Иваново (Южный)","Pilatus PC-12  (10)"
554,"Авиакомпания «Лайт Эйр»","Закрытое акционерное общество Авиакомпания «Лайт Эйр»","Уфа","BK-117  (1), Robinson R-44  (17), Ан-2  (7), R66  (1)"
284,"Авиакомпания СОКОЛ","Закрытое акционерное общество  Авиакомпания «СОКОЛ»","Новотитаровская-Азимут","Ми-2  (1), Ми-8  (1)"
442,"Авиакон Цитотранс","Открытое акционерное общество  Авиакомпания «АВИАКОН ЦИТОТРАНС»","Екатеринбург(Кольцово)","Ил-76  (5)"
120,"Авиалифт Владивосток","Закрытое акционерное общество «Авиалифт Владивосток»","Владивосток(Кневичи)","Ка-32  (8)"
560,"Авиасервис (Казань) (ИНН 1624446694)","Общество с ограниченной ответственностью «Авиасервис»","Бугульма  Казань","Challenger 600  (4), CL-600-2B19  (1), Falcon 7X  (1), Ми-8МТВ  (1)"
458,"Авиастар-ТУ","Общество с ограниченной ответственностью  Авиационная компания «Авиастар-ТУ»","Москва (Домодедово)  Москва (Шереметьево)  Раменское","Ту-204  (3)"
9,"Авиашельф","ЗАО совместное предприятие «Авиационная компания Авиашельф-Aviashelf»","Ноглики  Оха (Новостройка)  Южно-Сахалинск (Хомутово)","Ми-8  (2), Ми-8МТВ  (8)"
486,"Аврора","Открытое акционерное общество «Авиакомпания «Аврора»","Владивосток(Кневичи)  Южно-Сахалинск (Хомутово)","A-319  (7), B-737  (4), DHC-6  (2), DHC-8  (6)"
533,"Ай Флай","ООО «Ай Флай»","Москва (Внуково)","A-330  (2), B-757  (4)"
230,"АЛРОСА Авиакомпания ЗАО","Закрытое акционерное общество «Авиакомпания  АЛРОСА»","Ленск  Мирный  Москва (Домодедово)  Новосибирск(Толмачево)","B-737  (2), Ан-2  (3), Ан-24  (2), Ан-26  (1), Ан-38  (2), Ил-76  (2), Ми-171  (2), Ми-26  (1), Ми-8  (16), Ми-8МТВ  (2), Ту-134  (1), Ту-154  (2)"
333,"Алтайские Авиалинии","Алтайское краевое государственное унитарное предприятие «Алтайские авиалинии»","Барнаул","Ми-8  (5)"
555,"Амур","Общество с ограниченной ответственностью « Авиационная компания «Амур»","Мар-Кюель  Хабаровск (Новый)","Ан-24  (1), Ан-26  (1)"
