Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Абакан;2018;11 851;10 504;11 591;12 323;14 314;19 935;25 213;25 507;19 295;;;;
Айхал;2018;***;***;***;***;***;***;***;***;***;;;;
Алдан;2018;***;***;***;***;***;***;***;***;***;;;;
Амдерма;2018;***;***;***;***;***;***;***;***;***;;;;
Анадырь;2018;5 128;4 447;5 456;7 650;8 364;10 563;13 402;13 751;10 065;;;;
Анапа(Витязево);2018;40 338;32 232;32 232;56 658;94 249;219 472;294 101;311 263;207 505;;;;
Апатиты(Хибины);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Васьково);2018;***;***;***;***;***;***;***;***;***;;;;
Архангельск(Талаги);2018;61 727;56 015;65 240;67 853;80 438;97 057;107 634;107 201;89 288;;;;
Астрахань(Нариманово);2018;39 578;37 537;42 383;50 028;56 043;46 546;56 329;59 163;62 552;;;;
Аян;2018;***;***;***;***;***;***;***;360;280;;;;
Барнаул(Имени Г.С.Титова);2018;***;***;***;***;***;***;***;58 984;52 682;;;;
Батагай;2018;***;***;***;***;***;***;***;***;***;;;;
Белая Гора;2018;***;***;***;***;***;***;***;***;***;;;;
Белгород;2018;***;***;***;***;***;***;***;54 722;49 487;;;;
Белоярский;2018;3 646;3 274;4 105;5 537;6 834;6 816;6 928;7 319;5 832;;;;
Белушье;2018;***;***;***;***;***;***;***;***;***;;;;
Березово;2018;***;***;***;***;***;***;***;***;***;;;;
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2018;***;***;***;***;***;***;***;***;***;;;;
Благовещенск;2018;29 161;27 966;30 016;29 923;32 882;32 420;38 058;39 776;40 830;;;;
Бованенково;2018;***;***;***;***;***;***;***;***;***;;;;
Богородское;2018;***;***;***;***;***;***;***;214;215;;;;
Бодайбо;2018;***;***;***;***;***;***;***;***;***;;;;
Братск;2018;***;***;***;***;***;***;***;***;***;;;;
Брянск;2018;***;***;***;***;***;***;***;***;***;;;;
Бугульма;2018;3 164;2 917;3 730;3 460;3 825;4 106;3 278;2 954;3 801;;;;
Варандей;2018;***;***;***;***;***;***;***;***;***;;;;
