Код;Проведена;Дата;ХозОперация;Поступление;Списание;Контрагент;Заказ;Наша организация;Наш р/счет;ЗаказСНашейСтороны;Менеджер;Комментарий 1;Комментарий 2
15;ИСТИНА;22.01.2014;30;0,00;3 000,00;649;1296;98;10;194;;Плата за прием наличных средств по документу N 2 на сумму 1000000.00, тариф: 0.3%. НДС не облагается.;
14;ИСТИНА;22.01.2014;30;0,00;990,00;649;1296;98;10;194;9;Предоставление средств криптографической защиты информации на базе электронного ключа. За стандартный электронный ключ. Сумма 990 рублей. НДС не облагается.;
11;ИСТИНА;22.01.2014;30;0,00;150,00;649;1296;98;10;194;9;Плата за прием наличных средств по документу N 1 на сумму 10000.00 (по символам: 12 - 0.3%), минимальный тариф: 150.00. НДС не облагается.;
7;ИСТИНА;22.01.2014;30;0,00;600,00;649;1296;98;10;194;9;Изготовление и заверение копий документов,предоставленных клиентом для открытия и ведения банковского счета, количество листов 12, 50 рублей за лист . НДС 91.56 руб.;
4;ИСТИНА;22.01.2014;30;0,00;500,00;649;1296;98;10;194;;Комиссия банка за оформление карточки с образцами подписей и оттиска печати, 500.00 рублей за подпись . НДС 76.27 руб.;
3;ИСТИНА;22.01.2014;29;1 010 000,00;0,00;883;1764;98;10;194;;;
17;ИСТИНА;23.01.2014;30;0,00;80,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 23.01.2014 согласно действующему тарифу. НДС не облагается.;
16;ИСТИНА;23.01.2014;32;0,00;34 128,00;474;946;98;10;194;9;"Обеспечительный платеж по договору аренды №1015 от 16.01.2014г
Сумма 34128-00, в т.ч. НДС (18%) 5205-96 руб.";
766;ИСТИНА;24.01.2014;33;0,00;34 128,00;474;946;98;10;194;9;"Оплата аренды за февраль по договору аренды №1015 от 16.01.2014г
Сумма 34128-00, в т.ч. НДС (18%) 5205-96 руб.";
20;ИСТИНА;24.01.2014;30;0,00;160,00;649;1296;98;10;194;9;Комиссия за перечисление средств со счета в валюте РФ 40702810838170023089 за 24.01.2014 согласно действующему тарифу. НДС не облагается.;
19;ИСТИНА;24.01.2014;34;0,00;9 550,00;358;714;98;10;194;9;"Выездная сертификация, резервная копия, изготовление ключа подписи, лицензия на право СКЗИ по сч№ЮП000066 от 23,01,2014г.
Сумма 9550-00, в т.ч. НДС 1311-87 руб.";
21;ИСТИНА;03.02.2014;30;0,00;2 200,00;649;1296;98;10;194;9;"Плата за обслуживание по тарифному плану ""Базис"" по счету 40702810838170023089 за Февраль2014 г.  |НДС не облагается.|";
22;ИСТИНА;06.02.2014;35;0,00;69 960,00;473;944;98;10;194;9;"Оплата за оргтехнику по сч№72536/ от 04,02,14г.
Сумма 69960-00 руб. В т.ч. НДС 10671.86 руб.";
23;ИСТИНА;06.02.2014;35;0,00;94 460,00;473;944;98;10;194;9;"Оплата за оргтехнику по сч№72601 от 05,02,14г.
Сумма 94460 руб. В т.ч. НДС 14409,15 руб.";
25;ИСТИНА;07.02.2014;37;0,00;50 710,47;870;1738;98;10;194;9;Оплата за мебель по счету № 0НХ/1581554/233614 от 04.02.14 В т.ч. НДС (18%) 7735-50;
26;ИСТИНА;07.02.2014;38;0,00;5 685,35;870;1738;98;10;194;9;Оплата за канцтовары по счету № 0НХ/1581554/234080 от 05.02.2014, В т.ч. НДС (18%) 867-26;
